,artist,id,title
96,'Mocky',2UbNvvm4MwrgAR43GhNABC,'Sweet Things'
97,'Isaac Hayes',7wEGeUzpPNnHKfOtSgYjG4,'Hung Up On My Baby'
98,'Freddie Gibbs',3rwB9tWviIwsB7BtIuw3mG,'Deeper'
99,'Boris Gardiner',428Pr1wkAglLvbIlYTvlGt,'Every Nigger is a Star'
100,'Jai Paul',4yFNFUaXcS8jHhMWp33fVA,'BTSTU - Moodymann Edit'
101,'Blu & Exile',4MHohgE9X88aWGZ5l9eZYI,'Money'
102,'Curren$y',5PzI6dj2toTCnNU3XAVUEa,'The Business'
103,'Saito',15ZK7jqd5QxlR31v9tJgWs,'Relax Your Mind'
104,'Specifics',5HWe3SQt84D5jBbFQP73Dx,'Under the Hood'
105,'Neon Indian',6A77hHt5ZlRNkvQr7kCTxX,'Baby's Eyes'
106,'NxWorries',42w2krVjv84O8clFzoIR91,'Kutless'
107,'Tennyson',4l6Ni4ym9y3am94yvuKHcY,'Lay-by'
108,'The Midnight Eez',0sxnHAUPHTFAqRLTLuVoTz,'Midnight Anthem'
109,'Niko Is',1fpxCUP7uteDNxDD3bzCvO,'Onda'
110,'Generationals',4D6NCHhNGGlqpt1TMKSZgr,'Trust'
111,'Tru',38RCbHtuJ44NvBHQeV65qJ,"'Fungus (feat. K. Solar, Scott Kelley & Steve Lacy)'"
112,'Bishop Nehru',60NwuLLD9fpWZcDIfjv1NS,'You Stressin''
113,'Nohidea',2GPKo5nrX2uwB8eSCebIIk,"'sincerely, yours'"
114,'eery',4kVmLlBnLcfXIZIIhq3VUq,'Her'
115,'J Dilla',5jZgeKeNDkx6vxad9duCR0,'Two Can Win'
116,'Pete Rock',5y1GWeQdcPnpbS3CyhKMOp,'Get Involved'
117,'Oh No',5Kjlx9rIrT6eOnrZIJYbL0,'Tears on My Nautica'
118,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
119,'Madlib',2JIf3IDX85NrgX2EvBcmyq,'Cue 6'
120,'The Pharcyde',17scDKWU4B9ahaKHsQpj2m,'Passin' Me By - Fly As Pie Mix'
121,'Pharoahe Monch',2SwCgKbQMGUAUdKY2SBMnT,'Black Hand Side'
122,'J Dilla',6uh8siVtiO7lJwhFeAnavp,'Think Twice'
123,'Mild High Club',7qPdc4CH1GGZaHBImyoZ69,'Tesselation'
124,'Dirty Art Club',7huGzHyOQycKNNvYZTW4o0,'The Beginning'
125,'Dirty Art Club',5eGaQOCmgX2NxkzWCrvKXM,'Sugar'
126,'Dirty Art Club',0ZJ1bq7yjjOGYwzYvLr68f,"'Sincerely Yours, The D.A.C.'"
127,'Dirty Art Club',5Mmssxn9p9icLqEfQfDhWf,'Liquor and Acid'
128,'Dirty Art Club',6VVHSeh8hLXpjsmQNpKJRz,'Native's Blood'
129,'HOMESHAKE',4rMXiffcTBsg1QJUcV9Rhn,'Midnight Snack'
130,'Dirty Art Club',6GbSeXBwLRjei4PwIrYVDh,'Ghost of the Night Tide'
131,'HOMESHAKE',36AvNQ9Df0yRd471f77MJo,'I Don’t Wanna'
132,'HOMESHAKE',2zNjNrQLgkwQDsIeomo96b,'He’s Heating Up!'
133,'HOMESHAKE',36AvNQ9Df0yRd471f77MJo,'I Don’t Wanna'
134,'HOMESHAKE',7DvGSXC8FDqz2NZyEaIbEM,'Chowder'
135,'Dirty Art Club',4zWFLy9QxY12953sbsADNm,'Full Metal Jacket'
136,'Dirty Art Club',0lO1JSKQt3CefZHhWr10Ai,"'Sincerely Yours, The D.A.C.'"
137,'Warren G',7nYvUtkQMx1v80S2FH2s9J,'Regulate'
138,'Isaac Hayes',7wEGeUzpPNnHKfOtSgYjG4,'Hung Up On My Baby'
139,'Madlib',5bx0tMIUHBVBtfcZjo2iab,'Slim's Return'
140,'Blu & Exile',0S4YysfsVExB7oX0tairoB,'O Heaven'
141,'Mick Jenkins',6s8uBC9oil1lRT31fbbLW9,'Comfortable'
142,'Madvillain',685wafKZSIbPoZeuzDvcWs,'Bistro'
143,'Jeff Skigh',60k1sCmMJW5629S1TOeBTt,'Good Vibes (feat. David Aaron)'
144,'Buddy',1Wh8GeXvt7lANMGHubpaQn,'Guillotine'
145,'Samiyam',0kQVd0Kn8DuYaRXBNdgq6l,'Pandas'
146,'Danny Watts',4qS3NY9nWacqpz7v0RmL4z,'Black Boy Meets World'
147,'EMEFE',5nmXuJOBhAAcreDwD4dbZM,'Stutter'
148,'Metronomy',7HBtUA2lj3ljwCRVYsucmO,'Nights Out'
149,'Samiyam',0kQVd0Kn8DuYaRXBNdgq6l,'Pandas'
150,'Ta-ku',4Q1GscFfPr9SM9g0uVf95h,'June 30th (D.I.L.L.A)'
151,'NxWorries',0AnLCkvhn3HUYkws8rgklp,'Starlite'
152,'NxWorries',3aP0MsLipVga7jVTcDTeH6,'Dntstop (Interlude)'
153,'Blu & Exile',3b0tvkTkszyK6JrJj9HuwF,'A Letter'
154,'HOMESHAKE',2UsREIjT72ZEZnhdvpyg7R,'Give It to Me'
155,'Samiyam',0f8iBoM9o3cX7EfQK2mDeR,'July'
156,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
157,'Eugene McDaniels',0ShILYEuj2JA4Zx31gAhd0,'Supermarket Blues'
158,'The Jimmy Castor Bunch',5BF6J7ZHbncg8ynxI22ER4,'It's Just Begun'
159,'Gloria Ann Taylor',4hYcY2965SAQsfmynbezhf,"'Love Is a Hurtin' Thing - 12"" Version'"
160,'Fela Kuti',6NSgIWNze2dL9NNhInY92x,'Awo'
161,'FELA! Original Broadway Cast',0WrULBQbB1PTGksaR8ZzOs,"'Zombie (feat. Sahr Ngaujah, Lillias White & The FELA! Band)'"
162,'Mndsgn',2YdgfEjUO1qhG9j2R58HES,'Homewards'
163,'Childish Gambino',3kxfsdsCpFgN412fpnW85Y,'Redbone'
164,'J Dilla',03jaD8yizTrRPD4KPB2dZ5,'The Diff'rence'
165,'Wu-Tang Clan',4tj8pey83vDcoXZYRSRBRc,"'Diesel Fluid (feat. Method Man, Trife Diesel & Cappadonna)'"
166,'Wu-Tang Clan',49QaHhVWcpVW2gi8dJx8B0,'Ya'll Been Warned'
167,'Wu-Tang Clan',30ijaUgDocRl5Z20cOFTuY,'People Say (feat. Redman)'
168,'Aesop Rock',4m5zY9PRJvqPRDhDMJwSel,'Preservation'
169,'Curren$y',2OuPR1aeHm3oZcvjarDDow,'Paper Habits'
170,'Travis Scott',2xLMifQCjDGFmkHkpNLD9h,'SICKO MODE'
171,'Curren$y',3dVqjUsWzNyFjPavDF0OuW,'Hoe Train'
172,'A$AP Rocky',7ycWLEP1GsNjVvcjawXz3z,'Praise The Lord (Da Shine) (feat. Skepta)'
173,'Gil Scott-Heron',6yz7M1DItRFo8ATGeLoM9y,'Lady Day and John Coltrane'
174,'Clarence Reid',0LTqGc7UqoOEfyrBrffixC,'Nobody But You Babe'
175,'20syl',3DjYU54tU6YCEy822r8TcY,'Ongoing Thing (feat. Oddisee)'
176,'Blu',3gXK6q2AmAU0fVMRYzLkKX,'Cold Hearted'
177,'Madlib',5bx0tMIUHBVBtfcZjo2iab,'Slim's Return'
178,'Rex Orange County',4EpZ4eYuZOwPSSwyqpdHnJ,'Sunflower'
179,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
180,'Ducktails',4NcYXkAAvldlvl7esKz5A3,'Killin' the Vibe'
181,'Fela Kuti',1DW0TE14yZouKlWuc64WSP,'Waka Waka - Live'
182,'Generationals',4HWIwnpTzT2VzVvvo3bYYv,'Please Be It'
183,'Metronomy',6TdITECo4Wyt8ZjuSZ6AnQ,'Nights Outro'
184,'Onra',1SHbvIUb0fvzC9K0AVArNm,'Hold My Hand'
185,'Generationals',4HWIwnpTzT2VzVvvo3bYYv,'Please Be It'
186,'Samiyam',0kQVd0Kn8DuYaRXBNdgq6l,'Pandas'
187,'Johnson&Jonson',1vIF4ZNaGZvGER6B5OIIQ1,'Hold On John - Bonus'
188,'Khruangbin',1e5nuWd8w0ZQlgEA19okwE,'The Number 3'
189,'Lil Wayne',37sImz0wkOcX1cMWzo080d,'Nightmares Of The Bottom'
190,'Lil Wayne',6MD03Z93Me4okhTWFMfY8T,'Nightmares Of The Bottom'
191,'Lil Wayne',3Tb8evphzQfsqXK9yS5noh,'Nightmares Of The Bottom'
192,'Meek Mill',6Rtug7pmJtXarD0fTtRlt0,'1am'
193,'Dirty Art Club',7AjsVWWF2QK801LJ8IMrIe,'She's Mine At Last'
194,'Tennyson',2PulWYqnqleNbyweJL04w9,'With You'
195,'Madlib',2JIf3IDX85NrgX2EvBcmyq,'Cue 6'
196,'NxWorries',4F07ku5lMBIoybFPStM2j4,'Suede'
197,'Kiefer',29G1ScCUhgjgI0H72qN4DE,'AAAAA'
198,'Vacationer',07c5SaxbJbQ1SvHWa8FcO6,'Entrance'
199,'The Avalanches',6mIMcm0qEvKmFlSy9zFTGE,'Little Journey'
200,'Metronomy',7HBtUA2lj3ljwCRVYsucmO,'Nights Out'
201,'Monster Rally',1as1HN1p45h1NxBzXDiyVm,'Lovely You'
202,'Blended Babies',0t7WbPkjHnA2ddYyBcNTJ8,'Restaurant'
203,'Matt Duncan',6ikh8e4YxgOlb11LWUaBp4,'The Keys'
204,'St. Paul & The Broken Bones',2eM4Ew20VXdjBhm6a6Cs9l,'Flow with It (You Got Me Feeling Like)'
205,'DOOMSTARKS',0sQ9MCD0ichtBCSi8Khn3h,'Victory Laps'
206,'Roc Marciano',2SDwSIKuqIuKUMolXTlaoC,'Sweet Nothings'
207,'Madlib',5bx0tMIUHBVBtfcZjo2iab,'Slim's Return'
208,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
209,'Slow Hollows',4hSfY4G2SIUlwGViX1ve6J,'The Art School Kids'
210,'STRFKR',2k3yN7f2JvolgkJeqBEOkm,'Sound Track'
211,'STRFKR',5ilbZNqKZBdqs3nPiBXPIC,'YAYAYA'
212,'STRFKR',0PldjOTKRt45S9MrLnlwVM,'Kahlil Gibran'
213,'baaskaT',709QaosRPmtQ3NbpirJeWn,'Inside The Hyperbolic Time Chamber'
214,'Mild High Club',4DD08d0HLC2TxUKfTTj39F,'Kokopelli'
215,'Souls Of Mischief',0PV1TFUMTBrDETzW6KQulB,'93 'Til Infinity'
216,'People Under The Stairs',6WBzCRqjK96aKBvKiIyiZO,'Montego Slay'
217,'A Tribe Called Quest',3z40poMPmOkS6799tbXGKz,'Whateva Will Be'
218,'People Under The Stairs',4MbV8zrWudQflnbiIzp29t,'Acid Raindrops'
219,'Mac Miller',7odIekt1GqLVEAAWdnd9mJ,'In The Bag'
220,'Mild High Club',5nMfIpT4sBRTjrNwhHKZxE,'Windowpane'
221,'Ta-ku',7EXv6YemPlpZGRBVb63Sjw,'Chop'
222,'Tennyson',4l6Ni4ym9y3am94yvuKHcY,'Lay-by'
223,'Slow Hollows',4hSfY4G2SIUlwGViX1ve6J,'The Art School Kids'
224,'Madvillain',1P3eYnB5KiF4S2qZ7iQnOP,'Raid'
225,'Ducktails',4NcYXkAAvldlvl7esKz5A3,'Killin' the Vibe'
226,'Rex Orange County',4EpZ4eYuZOwPSSwyqpdHnJ,'Sunflower'
227,'Madlib',5bx0tMIUHBVBtfcZjo2iab,'Slim's Return'
228,'Ahmad Jamal Trio',4MIPpjKWw1lLVwS6tLhis1,'I Love Music'
229,'Milk Flud',1d7WWJgcdqPVpcatkvL32a,'Lovely'
230,'Caleon Fox',2oG9fcjgnJ8BgNtRCNRMnO,'The Durag Song'
231,'Black Milk',58drL48d8lSmr8I5ZIQo5C,'What It's Worth'
